,month,cor_blanksJFMA1,cor_zerosJFMA1,av_JFMA1,cor_blanksJFMA2,cor_zerosJFMA2,av_JFMA2,cor_blanksJAS1,cor_zerosJAS1,av_JAS
1,1,0.964672295,0.869224556,0.916948426,0.821739214,0.785254953,0.803497084,0.807471897,0.692341643,0.74990677
2,2,0.910567811,0.861417971,0.885992891,0.860747874,0.845610313,0.853179093,0.869669095,0.801598785,0.83563394
3,3,0.929109104,0.901806648,0.915457876,0.832737712,0.80842329,0.820580501,0.810749955,0.772990444,0.7918702
4,4,0.917973376,0.863406166,0.890689771,0.654960783,0.619988119,0.637474451,0.801448467,0.686543156,0.743995811
5,5,0.786706477,0.756553213,0.771629845,0.370764772,0.318919429,0.344842101,0.475696629,0.527257967,0.501477298
6,6,0.677827017,0.649185326,0.663506172,0.560686362,0.373088997,0.466887679,0.774339239,0.659187919,0.716763579
7,7,0.632641559,0.6077532,0.620197379,0.51298521,0.366243556,0.439614383,0.925139382,0.844311016,0.884725199
8,8,0.622924518,0.60557126,0.614247889,0.355134274,0.264733865,0.309934069,0.979535526,0.874502975,0.927019251
9,9,0.723153397,0.558327637,0.640740517,0.198755615,0.244412132,0.221583874,0.916990779,0.783695536,0.850343158
10,10,0.862338416,0.744884352,0.803611384,0.391070452,0.412252557,0.401661504,0.906162602,0.819938657,0.86305063
11,11,0.717754629,0.671422031,0.69458833,0.620914869,0.582520849,0.601717859,0.822901711,0.777666424,0.800284067
12,12,0.439174174,0.498866264,0.469020219,0.478846582,0.458939161,0.468892871,0.3863673,0.506333679,0.446350489